Ticker,EventDate,EventType,Headline,Sentiment,NewsCount,CAR_Minus5_Plus5
AAPL,2022-01-03,Strong Negative,Apple becomes first $3 trillion company,-0.1495367647265194,6,0.020152191337299497
AAPL,2022-01-04,Strong Negative,"Apple becomes first company to hit $3 trillion market value, then slips",-0.1526008616984371,5,0.015466399275022595
AAPL,2022-01-05,Strong Negative,$20 Billion In 2022: Google Pays Apple For Not Launching Its Own Search Engine?,-0.423058710143481,3,0.015203251102487794
AAPL,2022-01-06,Strong Positive,"Trump’s social media app to launch in February, App Store listing says",0.336159939083104,3,0.0205400583023416
AAPL,2022-01-10,Strong Negative,T-Mobile begins blocking iPhone users from enabling iCloud Private Relay in the US [U],-0.5757676556969601,2,0.0263090594131826
AAPL,2022-01-11,Strong Positive,Two companies show where our UWB future is heading,0.3423328094889046,3,0.0008901192013413984
AAPL,2022-01-12,Strong Negative,"Best Buy Co. Inc. stock falls Wednesday, underperforms market",-1.0,1,0.003252436431738599
AAPL,2022-01-18,Strong Negative,Child Labor and the Human Rights Violations Embedded in Producing Technology,-0.2859485184006442,4,0.020618915885176503
AAPL,2022-01-19,Strong Negative,Fubo Integrates FanView For Multiview Users on Apple TV,-0.3130964662594936,3,0.022162328239800605
AAPL,2022-01-20,Strong Positive,Rate Hikes Might Bring Quality ETFs Into Focus,1.0,1,0.027527744285626904
AAPL,2022-01-24,Strong Positive,Warren Buffett has nearly caught up with Cathie Wood after the tech-stock guru vastly outperformed him in 2020,0.3520155474636683,3,0.055491124608475204
AAPL,2022-01-26,Strong Positive,"How the ‘world's first’ AI-managed ETF stacks up, almost five years later",0.4696890229888444,2,0.0417452436461015
AAPL,2022-01-28,Strong Positive,Apple Posts Highest-Ever Quarterly Earnings in Sign It Tamed Supply Crisis,0.3948332125801758,3,0.0586750269680594
AAPL,2022-02-01,Strong Positive,LGD and BOE Competing with SDC for Larger Share of iPhone Business,0.3408435947137885,4,0.0641953825329426
AAPL,2022-02-03,Strong Negative,Judge dismisses lawsuit over Apple iPhone water resistance claims,-0.1378423832675201,6,0.03753378984947679
AAPL,2022-02-04,Strong Positive,"Apple, Broadcom win new trial in $1.1 bln Caltech patent case",0.4382876085403875,4,0.0419098931205231
AAPL,2022-02-07,Strong Positive,Tim Cook Reaffirms Commitment to Being Carbon Neutral,0.23136255637332,4,0.003684931796352104
AAPL,2022-02-09,Strong Negative,Apple vs. the World,-0.2876418551461165,4,0.014466527679823597
AAPL,2022-02-11,Strong Positive,Apple Just Quietly Introduced a Feature to Your iPhone That Is Going to Upend This $1.7 Trillion Industry,0.4093389721012648,5,0.0022471017590372944
AAPL,2022-02-17,Strong Negative,Apple defeats copyright lawsuit over racially diverse emoji,-0.2489991672903205,5,-0.009086372801145104
AAPL,2022-02-18,Strong Negative,Trump’s Truth Social Is Poised to Join a Crowded Field (Published 2022),-0.1830351779110918,5,-0.0094606603557836
AAPL,2022-02-22,Strong Positive,Kraft Heinz taps Google for multiyear transformation push,1.0,1,-0.017280546925208702
AAPL,2022-02-24,Strong Negative,Apple Al Maryah Island opens Friday in the heart of Abu Dhabi,-0.4321706024742135,2,0.0003594986489991979
AAPL,2022-03-01,Strong Negative,Apple Halts Product Sales in Russia After Ukraine Invasion,-1.0,2,-0.006809072083526001
AAPL,2022-03-02,Strong Negative,"Apple to host spring event next week, low-cost 5G iPhone in focus",-0.2282776276713106,5,-4.140276250760074e-05
AAPL,2022-03-03,Strong Negative,Ikea and the owner of T.J. Maxx are the latest retailers to halt Russia operations.,-0.4697683663372375,4,-0.0158738887254796
AAPL,2022-03-04,Strong Negative,Ukraine war tests whether marketers can address crisis meaningfully,-0.3810476338751676,5,-0.0021201299502241998
AAPL,2022-03-07,Strong Negative,EPAM Shares Continue to Fall on Ukraine Crisis & Russia Exit,-1.0,1,-0.006935798459660997
AAPL,2022-03-11,Strong Negative,"Autodesk Inc. stock falls Friday, underperforms market",-0.3453360885429734,3,-0.0403529083405393
AAPL,2022-03-14,Strong Negative,TSMC’s largest customer makes up 26% of revenue,-0.3822298597097451,2,-0.025118724691281395
AAPL,2022-03-15,Strong Positive,Apple’s Impact Accelerator unlocks new opportunities for US businesses to speed environmental progress,0.3087369786320049,4,-0.0371342558554759
AAPL,2022-03-16,Strong Negative,Apple Pay has arrived in Argentina: how to pay with the iPhone and what are its advantages?,-0.1914231709961006,4,-0.0075015484433338005
AAPL,2022-03-21,Strong Negative,U.S. charges former Apple buyer with defrauding more than $10 million from company,-0.6288386670381007,2,0.007334909691106995
AAPL,2022-03-25,Strong Positive,How big U.S. companies are creating a brand new abortion benefit,0.2611369271210616,3,0.031230413383096702
AAPL,2022-03-28,Strong Negative,"Apple to cut iPhone, AirPods output, Nikkei reports",-1.0,2,0.033884328764642806
AAPL,2022-03-30,Strong Positive,WA Police phone capabilities expanded to add support for Apple CarPlay,0.5626801988552755,2,0.027940861271001
AAPL,2022-03-31,Strong Negative,Apple reportedly seeks alternative flash memory chip suppliers,-0.2204827865502916,4,0.0047622282764544985
AAPL,2022-04-06,Strong Negative,"BlackBerry plans to settle lawsuit over BlackBerry 10, avoid U.S. trial",-1.0,1,0.0202289855053624
AAPL,2022-04-07,Strong Negative,Warren Buffett made about $650 million on HP after stake was revealed,-0.1926897010278248,5,0.008711485228334499
AAPL,2022-04-08,Strong Positive,"Survey finds 87% of US teenagers own an iPhone, Apple's AirPods remain immensely popular",0.4212184586352943,3,0.011994037342594795
AAPL,2022-04-13,Strong Positive,This Chip Maker Supplies Tesla and Apple. Its Stock Could Get a Boost as Shortages Continue.,0.3175579987195073,3,0.0266223760101977
AAPL,2022-04-14,Strong Positive,Apple helps suppliers rapidly accelerate renewable energy use around the world,0.6180672172821483,2,0.021726393092940298
AAPL,2022-04-18,Strong Negative,"Why we may not get a Garmin Vivoactive 5: rumours, leaks, expectations",-0.4923148525316146,2,0.0161915360516895
AAPL,2022-04-19,Strong Negative,Spotify review: The most popular music service needs to fix some serious issues,-0.6352356020942408,3,0.0145382498068987
AAPL,2022-04-20,Strong Negative,"Netflix shares slide after it loses 200,000 subscribers",-1.0,2,0.016128135186042503
AAPL,2022-04-21,Strong Positive,Apple Spends Record High on Lobbying Amid Pressure from Congress,0.2288710975662208,2,0.010019810918202006
AAPL,2022-04-25,Strong Negative,Apple plans Cary office project to fill seven-story tower,-0.1663990169859364,5,0.014789804021180998
AAPL,2022-04-29,Strong Negative,Apple Sales Top Estimates on Strong iPhone and Services Demand,-0.2594087218103814,6,0.022815164958972397
AAPL,2022-05-02,Strong Negative,Apple lawsuit says 'stealth' startup Rivos poached engineers to steal secrets,-0.7350014681654327,3,0.030388179385807394
AAPL,2022-05-05,Strong Negative,Tech sell-off pushes Nasdaq to steepest drop since June 2020,-0.39566765658991,3,-0.006400877320207006
AAPL,2022-05-09,Strong Negative,Vietnam 'darling' of global electronics giants,-0.2158431186779293,4,-0.028658364723255808
AAPL,2022-05-10,Strong Negative,How Citizens Financial used an iPhone plan to create a nationwide digital bank,-0.6588338066075929,3,-0.014407268422442712
AAPL,2022-05-12,Strong Positive,A customer-centric approach: the key to the innovation paradox,0.351040298160728,3,-0.05677062792757741
AAPL,2022-05-19,Strong Positive,"SEI Enhanced U.S. Large Cap Value Factor ETF ETF Price, Holdings, & News (BATS:SEIV)",0.4947339172152006,2,-0.0428145736155046
AAPL,2022-05-20,Strong Negative,International Business Machines Corp. stock underperforms Friday when compared to competitors,-0.3739461976908071,3,-0.010167480353826502
